"","region1","region2","region","cases","week","year","x","y","SIG_CD"
"321","강원","삼척시","강원-삼척시",0,14,2024,129.12171,37.27748089,42230
"322","강원","삼척시","강원-삼척시",0,15,2024,129.12171,37.27748089,42230
"323","강원","삼척시","강원-삼척시",0,16,2024,129.12171,37.27748089,42230
"324","강원","삼척시","강원-삼척시",0,17,2024,129.12171,37.27748089,42230
"325","강원","삼척시","강원-삼척시",0,18,2024,129.12171,37.27748089,42230
"326","강원","삼척시","강원-삼척시",0,19,2024,129.12171,37.27748089,42230
"327","강원","삼척시","강원-삼척시",0,20,2024,129.12171,37.27748089,42230
"328","강원","삼척시","강원-삼척시",0,21,2024,129.12171,37.27748089,42230
"329","강원","삼척시","강원-삼척시",0,22,2024,129.12171,37.27748089,42230
"330","강원","삼척시","강원-삼척시",0,23,2024,129.12171,37.27748089,42230
"331","강원","삼척시","강원-삼척시",1,1,2025,129.12171,37.27748089,42230
"332","강원","삼척시","강원-삼척시",1,2,2025,129.12171,37.27748089,42230
"333","강원","삼척시","강원-삼척시",0,3,2025,129.12171,37.27748089,42230
"334","강원","삼척시","강원-삼척시",1,4,2025,129.12171,37.27748089,42230
"335","강원","삼척시","강원-삼척시",0,5,2025,129.12171,37.27748089,42230
"336","강원","삼척시","강원-삼척시",0,6,2025,129.12171,37.27748089,42230
"337","강원","삼척시","강원-삼척시",0,7,2025,129.12171,37.27748089,42230
"338","강원","삼척시","강원-삼척시",0,8,2025,129.12171,37.27748089,42230
"339","강원","삼척시","강원-삼척시",0,9,2025,129.12171,37.27748089,42230
"340","강원","삼척시","강원-삼척시",0,10,2025,129.12171,37.27748089,42230
"341","강원","삼척시","강원-삼척시",0,11,2025,129.12171,37.27748089,42230
"342","강원","삼척시","강원-삼척시",0,12,2025,129.12171,37.27748089,42230
"343","강원","삼척시","강원-삼척시",0,13,2025,129.12171,37.27748089,42230
"344","강원","삼척시","강원-삼척시",0,14,2025,129.12171,37.27748089,42230
"345","강원","삼척시","강원-삼척시",0,15,2025,129.12171,37.27748089,42230
"346","강원","삼척시","강원-삼척시",0,16,2025,129.12171,37.27748089,42230
"347","강원","삼척시","강원-삼척시",0,40,2024,129.12171,37.27748089,42230
"348","강원","삼척시","강원-삼척시",0,41,2024,129.12171,37.27748089,42230
